sd,poverty,school district
Fairfax County Public Schools,1148433,1260
Falls Church City Public Schools,14583,1290
Fauquier County Public Schools,69465,1320
Floyd County Public Schools,15755,1350
Fluvanna County Public Schools,26452,1380
Franklin City Public Schools,8176,1410
Franklin County Public Schools,56445,1440
Frederick County Public Schools,86484,1470
Fredericksburg City Public Schools,28360,1510
Galax City Public Schools,6625,1560
Giles County Public Schools,16837,1590
Gloucester County Public Schools,37292,1620
Goochland County Public Schools,22685,1650
Grayson County Public Schools,15665,1690
Greene County Public Schools,19612,1710
Greensville County Public Schools,11679,1740
Halifax County Public Schools,34563,1770
Hampton City Public Schools,134669,1800
Hanover County Public Schools,105923,1830
Harrisonburg City Public Schools,54215,1860
Henrico County Public Schools,327898,1890
Henry County Public Schools,51227,1920
Highland County Public Schools,2212,1950
Hopewell City Public Schools,22621,1980
Isle of Wight County Public Schools,36552,2010
King and Queen County Public Schools,7003,2070
King George County Public Schools,25668,2100
King William County Public Schools,13240,2120
Lancaster County Public Schools,10788,2160
Lee County Public Schools,23758,2190
Loudoun County Public Schools,398080,2250
Louisa County Public Schools,35860,2280
Lunenburg County Public Schools,12235,2310
Lynchburg City Public Schools,80995,2340
Manassas City Public Schools,41501,2360
Madison County Public Schools,13277,2370
Manassas Park City Public Schools,16591,2390
Martinsville City Public Schools,13142,2400
Mathews County Public Schools,8779,2430
Mecklenburg County Public Schools,30686,2460
Middlesex County Public Schools,10679,2490
Montgomery County Public Schools,98559,2520
Nelson County Public Schools,14943,2580
New Kent County Public Schools,21682,2610
Newport News City Public Schools,179388,2640
Norfolk City Public Schools,244703,2670
Northampton County Public Schools,11846,2710
Northumberland County Public Schools,12275,2730
Norton City Public Schools,3936,2760
Nottoway County Public Schools,15434,2790
Orange County Public Schools,36073,2820
Page County Public Schools,23731,2850
Patrick County Public Schools,17665,2880
Petersburg City Public Schools,31750,2910
Pittsylvania County Public Schools,61258,2940
Poquoson City Public Schools,12053,2980
Portsmouth City Public Schools,94572,3000
Powhatan County Public Schools,28601,3030
Prince Edward County Public Schools,22703,3060
Prince George County Public Schools,37809,3090
Prince William County Public Schools,457342,3130
Pulaski County Public Schools,34184,3150
Radford City Public Schools,17658,3180
Rappahannock County Public Schools,7321,3210
Richmond City Public Schools,227032,3240
Richmond County Public Schools,8939,3270
Roanoke City Public Schools,99837,3300
Roanoke County Public Schools,93730,3330
Rockbridge County Public Schools,22659,3370
Rockingham County Public Schools,80227,3390
Russell County Public Schools,27048,3420
Salem City Public Schools,25862,3460
Scott County Public Schools,21865,3480
Shenandoah County Public Schools,43225,3510
Smyth County Public Schools,30656,3520
Southampton County Public Schools,17750,3600
Spotsylvania County Public Schools,133033,3640
Stafford County Public Schools,144451,3660
Staunton City Public Schools,24528,3690
Suffolk City Public Schools,90237,3710
Surry County Public Schools,6540,3750
Sussex County Public Schools,11373,3780
Tazewell County Public Schools,41095,3810
Virginia Beach City Public Schools,450435,3840
Warren County Public Schools,39563,3870
Washington County Public Schools,54387,3900
Waynesboro City Public Schools,22327,3930
West Point Town Public Schools,3468,3950
Westmoreland County Public Schools,14219,3980
Williamsburg City Public Schools,15031,4020
Winchester City Public Schools,27932,4050
Wise County Public Schools,38586,4080
Wythe County Public Schools,28882,4110
York County Public Schools,67739,4150
Dahlgren Department of Defense School District,669,22
Quantico Marine Corps Center School District,7879,23
James City County Public Schools,75524,36
Accomack County Public Schools,32545,60
Albemarle County Public Schools,107702,90
Alexandria City Public Schools,160035,120
Alleghany County Public Schools,15122,152
Amelia County Public Schools,13020,180
Amherst County Public Schools,31594,210
Appomattox County Public Schools,15681,240
Arlington County Public Schools,234965,270
Augusta County Public Schools,75144,300
Bath County Public Schools,4297,330
Bedford County Public Schools,77974,360
Bland County Public Schools,6350,390
Botetourt County Public Schools,33192,420
Bristol City Public Schools,16790,450
Brunswick County Public Schools,16244,480
Buchanan County Public Schools,21514,510
Buckingham County Public Schools,17065,540
Buena Vista City Public Schools,6327,560
Campbell County Public Schools,55010,600
Caroline County Public Schools,30461,660
Carroll County Public Schools,29708,690
Charles City County Public Schools,7004,720
Charlotte County Public Schools,12119,750
Charlottesville City Public Schools,48019,780
Chesapeake City Public Schools,240397,810
Chesterfield County Public Schools,343599,840
Clarke County Public Schools,14508,870
Colonial Beach Town Public Schools,3561,930
Colonial Heights City Public Schools,17830,960
Covington City Public Schools,5531,990
Craig County Public Schools,5062,1020
Culpeper County Public Schools,51282,1050
Cumberland County Public Schools,9811,1080
Danville City Public Schools,41130,1110
Dickenson County Public Schools,14782,1140
Dinwiddie County Public Schools,28208,1170
Emporia City Public Schools,5282,1190
Essex County Public Schools,11028,1200
Fairfax City Public Schools,24097,1230
